Env	Meta	PF00034	PF00037	PF00005	PF13579	PF00534	PF01058	PF05239	PF00106	PF01613	PF13247	PF09459	PF10418	PF12139	PF01568	PF13360	PF00528	PF03404	PF00174	PF14306	PF00258	PF01547	PF12838	PF12831	PF07992	PF00890	PF02635	PF13193	PF04945	PF00557	PF00556	PF02826	PF00009	PF04173	PF04663	PF01553	PF04077	PF04879	PF13501	PF01292	PF13183	PF02662	PF05398	PF07682	PF06099	PF03916	PF07680	PF12798	PF00374	PF11511	PF13237	PF08669	PF00384	PF13442	PF00389	PF00205	PF00202	PF03967	PF09242	PF08770	PF02775	PF02776	PF00175	PF00171	PF07883	PF01370	PF02665	PF02910	PF01507	PF04358	PF01747	PF13746	PF00459	PF01571	PF01077	PF09084	PF01070	PF00124	PF10518	PF00501	PF03144	PF03460	PF00355	PF01583	PF00291	PF00111
marine	4440358.3	0.0	9.0	43.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	4.0	0.0	3.0	2.0	0.0	0.0	3.0	0.0	6.0	8.0	1.0	7.0	0.0	2.0	0.0	10.0	26.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0	1.0	4.0	1.0	9.0	0.0	0.0	2.0	3.0	9.0	0.0	24.0	2.0	10.0	0.0	3.0	0.0	2.0	0.0	1.0	6.0	8.0	0.0	0.0	0.0	3.0	4.0	32.0	1.0	1.0	5.0	1.0	5.0	2.0
marine	4440359.3	0.0	4.0	27.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	1.0	2.0	1.0	1.0	0.0	4.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	3.0	4.0	0.0	14.0	4.0	7.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	0.0	1.0	0.0	3.0	2.0	12.0	1.0	1.0	1.0	0.0	3.0	0.0
marine	4440360.3	0.0	6.0	31.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0	5.0	0.0	6.0	0.0	5.0	0.0	5.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	1.0	0.0	2.0	0.0	4.0	1.0	0.0	1.0	2.0	9.0	0.0	7.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	28.0	1.0	1.0	1.0	0.0	3.0	1.0
marine	4440361.3	0.0	3.0	43.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	4.0	10.0	0.0	2.0	0.0	4.0	0.0	3.0	19.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	1.0	2.0	15.0	0.0	1.0	4.0	6.0	6.0	0.0	25.0	3.0	6.0	0.0	3.0	0.0	0.0	6.0	0.0	7.0	2.0	2.0	0.0	0.0	3.0	1.0	19.0	4.0	3.0	2.0	2.0	7.0	3.0
marine	4440362.3	0.0	9.0	47.0	0.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	4.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	4.0	0.0	7.0	0.0	2.0	0.0	11.0	27.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	3.0	0.0	5.0	0.0	10.0	0.0	0.0	2.0	7.0	5.0	0.0	26.0	4.0	6.0	0.0	4.0	0.0	1.0	2.0	1.0	3.0	8.0	1.0	1.0	0.0	4.0	0.0	22.0	5.0	1.0	0.0	1.0	1.0	3.0
marine	4440363.3	0.0	2.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	6.0	0.0	2.0	0.0	0.0	0.0	5.0	13.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	1.0	3.0	5.0	0.0	16.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	2.0	0.0	8.0	2.0	0.0	1.0	1.0	2.0	0.0
marine	4440364.3	0.0	4.0	51.0	0.0	4.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	7.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	5.0	15.0	0.0	3.0	0.0	2.0	0.0	9.0	19.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	8.0	0.0	17.0	0.0	0.0	2.0	2.0	8.0	0.0	18.0	4.0	3.0	0.0	2.0	0.0	2.0	1.0	0.0	2.0	6.0	1.0	2.0	0.0	5.0	0.0	23.0	5.0	1.0	3.0	3.0	2.0	1.0
marine	4440365.3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	3.0	0.0
marine	4441621.3	0.0	26.0	671.0	0.0	36.0	15.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	56.0	1.0	24.0	0.0	0.0	0.0	3.0	15.0	80.0	114.0	0.0	99.0	15.0	29.0	3.0	80.0	100.0	1.0	0.0	1.0	0.0	4.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	13.0	36.0	1.0	32.0	4.0	150.0	0.0	2.0	7.0	43.0	36.0	0.0	617.0	52.0	37.0	0.0	31.0	0.0	0.0	1.0	4.0	56.0	48.0	30.0	8.0	0.0	21.0	16.0	426.0	13.0	27.0	130.0	35.0	30.0	23.0
marine	4441622.3	0.0	26.0	671.0	0.0	36.0	15.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	56.0	1.0	24.0	0.0	0.0	0.0	3.0	15.0	80.0	114.0	0.0	99.0	15.0	29.0	3.0	80.0	100.0	1.0	0.0	1.0	0.0	4.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	13.0	36.0	1.0	32.0	4.0	150.0	0.0	2.0	7.0	43.0	36.0	0.0	617.0	52.0	37.0	0.0	31.0	0.0	0.0	1.0	4.0	56.0	48.0	30.0	8.0	0.0	21.0	16.0	426.0	13.0	27.0	130.0	35.0	30.0	23.0
marine	4441623.3	0.0	1.0	67.0	0.0	13.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	5.0	4.0	0.0	8.0	1.0	4.0	1.0	6.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	2.0	0.0	19.0	0.0	0.0	0.0	3.0	0.0	0.0	51.0	6.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	4.0	1.0	0.0	3.0	2.0	35.0	1.0	1.0	13.0	3.0	6.0	3.0
